SampleID,AmatoID,Species,Site,Group,Individual,Date,Age,Sex,AgeSex,Reproductive,Season,Month,Preservative,Notes,
CJAC10,CJAC-BRA-15-PG-10,Callithrix jacchus,Brazil,House,Lilac/lilac,2/10/15,Adult,Female,AdultFemale,ND,Dry,February,RNAlater,,
CJAC101,CJAC-BRA-16-PG-101,Callithrix jacchus,Brazil,Coqueiro,,3/15/16,Adult,Female,AdultFemale,Unknown,Dry,March,Ethanol,,
CJAC102,CJAC-BRA-16-PG-102,Callithrix jacchus,Brazil,Coqueiro,,3/15/16,Juvenile,Female,JuvenileFemale,NP,Dry,March,Ethanol,,
CJAC104,CJAC-BRA-16-PG-104,Callithrix jacchus,Brazil,Coqueiro,,3/15/16,Adult,Male,AdultMale,NP,Dry,March,Ethanol,,
CJAC105,CJAC-BRA-16-PG-105,Callithrix jacchus,Brazil,Coqueiro,,3/15/16,Adult,Male,AdultMale,NP,Dry,March,Ethanol,,
CJAC107,CJAC-BRA-16-PG-107,Callithrix jacchus,Brazil,Coqueiro,,3/15/16,Infant,Female,InfantFemale,NP,Dry,March,Ethanol,,
CJAC11,CJAC-BRA-15-PG-11,Callithrix jacchus,Brazil,House,Lilac/lilac,2/10/15,Adult,Female,AdultFemale,ND,Dry,February,RNAlater,,
CJAC114,CJAC-BRA-16-PG-114,Callithrix jacchus,Brazil,Princess,,3/17/16,Adult,Male,AdultMale,NP,Dry,March,Ethanol,,
CJAC115,CJAC-BRA-16-PG-115,Callithrix jacchus,Brazil,Princess,,3/17/16,Adult,Female,AdultFemale,Unknown,Dry,March,Ethanol,,
CJAC116,CJAC-BRA-16-PG-116,Callithrix jacchus,Brazil,Princess,,3/17/16,Adult,Female,AdultFemale,Unknown,Dry,March,Ethanol,,
CJAC117,CJAC-BRA-16-PG-117,Callithrix jacchus,Brazil,Princess,,3/17/16,Adult,Male,AdultMale,NP,Dry,March,Ethanol,,
CJAC118,CJAC-BRA-16-PG-118,Callithrix jacchus,Brazil,Princess,,3/17/16,Adult,Female,AdultFemale,P,Dry,March,Ethanol,,
CJAC12,CJAC-BRA-15-PG-12-b,Callithrix jacchus,Brazil,House,,2/10/15,Adult,Male,AdultMale,NP,Dry,February,RNAlater,,
CJAC125,CJAC-BRA-16-PG-125,Callithrix jacchus,Brazil,Road,"Red back, Yellow L foot, Pink R foot",3/23/16,Juvenile,Female,JuvenileFemale,NP,Dry,March,Ethanol,,
CJAC126,CJAC-BRA-16-PG-126,Callithrix jacchus,Brazil,House,,3/24/16,Adult,Male,AdultMale,NP,Dry,March,Ethanol,,
